date,time,localCurrentTemperature,localCurrentApparentTemperature,LocalForecastedTemperature_3,LocalForecastedApparentTemperature_3,LocalForecastedTemperature_6,LocalForecastedApparentTemperature_6,localCurrentHumidity,LocalForecastedHumidity_3,LocalForecastedHumidity_6,LocalCurrent_Cloudiness,LocalForecastedCloudiness_3,LocalForecastedCloudiness_6,localCurrentUVIndex,LocalCurrent_Rain,LocalForecastedRain_3,LocalForecastedRain_6,LocalCurrent_Snow,LocalForecastedSnow_3,LocalForecastedSnow_6,SensorTemperature,SensorRelativeHumidity,SensorUltraviolet,SensorLuminance,MotionAlarm,TamperAlarm,WallPlugSwitch1_Switch_1,WallPlugSwitch1_SensorPower_1,Multisensor_outside_SensorTemperature,Multisensor_outside_SensorRelativeHumidity,Multisensor_outside_SensorUltraviolet,Multisensor_outside_SensorLuminance,Multisensor_outside_TamperAlarm,Multisensor_outside_MotionAlarm,sensor1_temperature,sensor2_temperature,sensor3_temperature,sensor4_temperature,sensor5_temperature,sensor1_humidity,sensor2_humidity,sensor3_humidity,sensor4_humidity,sensor5_humidity,Enocean_Temperature_1,Enocean_Humidity_1,Brightness_sensor_temperature_1,Brightness_Sensor_Temperature_2,Brightness_Sensor_Ambient_Brightness_1,Brightness_Sensor_Ambient_Brightness_2,Brightness_Sensor_Motion_detection_1,Brightness_Sensor_Motion_detection_2,Brightness_Sensor_Battery_1,Brightness_Sensor_Battery_2,Socket_Energy_1,Socket_Energy_2,Socket_Power_1,Socket_Power_2,Socket_Switch_1,Socket_Switch_2,Socket_Energy_3,Socket_Energy_4,Socket_Power_3,Socket_Power_4,Socket_Switch_3,Socket_Switch_4,Luminance_Sensor_Luminance_1,Luminance_Sensor_Luminance_2,Luminance_Sensor_Battery_1,Luminance_Sensor_Battery_2,Rain_Sensor_Precipitation_1,Rain_Sensor_Water_Meter_1,Rain_Sensor_Battery_1,AIR_Quality_Sensor_CO2_2,AIR_Quality_Sensor_Dew_point_2,AIR_Quality_Sensor_Humidity_2,AIR_Quality_Sensor_Temperature_2,AIR_Quality_Sensor_VOC_2,AirQualitySensor_SensorTemperature,AirQualitySensor_SensorRelativeHumidity,AirQualitySensor_SensorVOLATILE_ORGANIC_COMPOUND,AirQualitySensor_SensorDewPoint,AirQualitySensor_SensorCO2,Weather_Station_Air_Pressure_1,Weather_Station_Dew_Point_1,Weather_Station_Electricity_meter_1,Weather_Station_Heat_meter_1,Weather_Station_Humidity_1,Weather_Station_Luminance_1,Weather_Station_Temperature_1,Weather_Station_Wind_Speed_1,Rain_Sensor_Precipitation_2,Rain_Sensor_Water_Meter_2,Rain_Sensor_Battery_2,Temperature_25,Temperature_26,Temperature_27,Weather_Station_Air_Pressure_2,Weather_Station_Dew_Point_2,Weather_Station_Electricity_meter_2,Weather_Station_Heat_meter_2,Weather_Station_Humidity_2,Weather_Station_Luminance_2,Weather_Station_Temperature_2,Weather_Station_Wind_Speed_2,wind_sensor_power,wind_sensor_energy
2021-07-27,04:33:33,15.83,15.66,15.83,15.66,15.88,15.8,84,84,87,37,25,22,6.31,0.0,0.0,0.0,0.0,0.0,0.0,23.8,58,0,0,OFF,OFF,ON,0,15.5,99,0,0,OFF,OFF,29.4,29.5,15.51,29.4,15.95,9.0,6.0,90.33,38.0,82.58,14,84,23.5,16.5,2,1,OFF,OFF,100,100,4.707,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,73,525,14,78,17.9,0.181,26.5,40,4.355,11.8,412,95.7,13.8,30.77419,138342,84,0,16,3,0,0.3145,72,24.98,32.97,25.66,95.6,14.4,12.12345,19,41,0,26.7,0,0,0
2021-07-27,04:34:03,15.83,15.66,15.83,15.66,15.88,15.8,84,84,87,37,25,22,6.31,0.0,0.0,0.0,0.0,0.0,0.0,23.8,58,0,0,OFF,OFF,ON,0,15.5,99,0,0,OFF,OFF,29.4,29.5,15.51,29.4,15.95,9.0,6.0,90.33,38.0,82.58,14,84,23.5,16.5,2,1,OFF,OFF,100,100,4.707,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,73,525,14,78,17.9,0.181,26.5,40,4.355,11.8,412,95.7,13.8,30.77419,138342,84,0,16,3,0,0.3145,72,24.98,32.97,25.66,95.6,14.4,12.12345,19,41,0,26.7,0,0,0
2021-07-27,04:34:33,15.83,15.66,15.83,15.66,15.88,15.8,84,84,87,37,25,22,6.31,0.0,0.0,0.0,0.0,0.0,0.0,23.8,58,0,0,OFF,OFF,ON,0,15.5,99,0,0,OFF,OFF,29.4,29.5,15.51,29.4,15.95,9.0,6.0,90.33,38.0,82.58,14,84,23.5,16.5,2,1,OFF,OFF,100,100,4.707,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,73,525,14,78,17.9,0.181,26.5,40,4.355,11.8,412,95.7,13.8,30.77419,138342,84,0,16,3,0,0.3145,72,24.98,32.97,25.66,95.6,14.4,12.12345,19,41,0,26.7,0,0,0
2021-07-27,04:35:03,15.83,15.66,15.83,15.66,15.88,15.8,84,84,87,37,25,22,6.31,0.0,0.0,0.0,0.0,0.0,0.0,23.8,58,0,0,OFF,OFF,ON,0,15.5,99,0,0,OFF,OFF,29.4,29.5,15.51,29.4,15.95,9.0,6.0,90.33,38.0,82.58,14,84,23.5,16.5,2,1,OFF,OFF,100,100,4.707,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,73,525,14,78,17.9,0.181,26.5,40,4.355,11.8,412,95.7,13.8,30.77419,138342,84,0,16,3,0,0.3145,72,24.98,32.97,25.66,95.6,14.4,12.12345,19,41,0,26.7,0,0,0
2021-07-27,04:35:37,15.83,15.66,15.83,15.66,15.88,15.8,84,84,87,37,25,22,6.31,0.0,0.0,0.0,0.0,0.0,0.0,23.8,58,0,0,OFF,OFF,ON,0,15.5,99,0,0,OFF,OFF,29.4,29.5,15.51,29.4,15.95,9.0,6.0,90.33,38.0,82.58,14,84,23.5,16.5,2,1,OFF,OFF,100,100,4.707,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,73,525,14,78,17.9,0.181,26.5,40,4.355,11.8,412,95.7,13.8,30.77419,138342,84,0,16,3,0,0.3145,72,24.98,32.97,25.66,95.6,14.4,12.12345,19,41,0,26.7,0,0,0
2021-07-27,04:36:06,15.83,15.66,15.83,15.66,15.88,15.8,84,84,87,37,25,22,6.31,0.0,0.0,0.0,0.0,0.0,0.0,23.8,58,0,0,OFF,OFF,ON,0,15.5,99,0,0,OFF,OFF,29.4,29.5,15.51,29.4,15.95,9.0,6.0,90.33,38.0,82.58,14,84,23.5,16.5,2,1,OFF,OFF,100,100,4.707,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,73,525,14,78,17.9,0.181,26.5,40,4.355,11.8,412,95.7,13.8,30.77419,138342,84,0,16,3,0,0.3145,72,24.98,32.97,25.66,95.6,14.4,12.12345,19,41,0,26.7,0,0,0
2021-07-27,04:36:36,15.83,15.66,15.83,15.66,15.88,15.8,84,84,87,37,25,22,6.31,0.0,0.0,0.0,0.0,0.0,0.0,23.8,58,0,0,OFF,OFF,ON,0,15.5,99,0,0,OFF,OFF,29.4,29.5,15.51,29.4,15.95,9.0,6.0,90.33,38.0,82.58,14,84,23.5,16.5,2,1,OFF,OFF,100,100,4.707,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,73,525,14,78,17.9,0.181,26.5,40,4.355,11.8,412,95.7,13.8,30.77419,138342,84,0,16,3,0,0.3145,72,24.98,32.97,25.66,95.6,14.4,12.12345,19,41,0,26.7,0,0,0
2021-07-27,04:37:06,15.83,15.66,15.83,15.66,15.88,15.8,84,84,87,37,25,22,6.31,0.0,0.0,0.0,0.0,0.0,0.0,23.8,58,0,0,OFF,OFF,ON,0,15.5,99,0,0,OFF,OFF,29.4,29.5,15.51,29.4,15.95,9.0,6.0,90.33,38.0,82.58,14,84,23.5,16.5,2,1,OFF,OFF,100,100,4.707,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,73,525,14,78,17.9,0.181,26.5,40,4.355,11.8,412,95.7,13.8,30.77419,138342,84,0,16,3,0,0.3145,72,24.98,32.97,25.66,95.6,14.4,12.12345,19,41,0,26.7,0,0,0
2021-07-27,04:37:36,15.83,15.66,15.83,15.66,15.88,15.8,84,84,87,37,25,22,6.31,0.0,0.0,0.0,0.0,0.0,0.0,23.8,58,0,0,OFF,OFF,ON,0,15.6,99,0,0,OFF,OFF,29.4,29.5,15.51,29.4,15.95,9.0,6.0,90.33,38.0,82.58,14,84,23.5,16.5,2,1,OFF,OFF,100,100,4.707,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,73,525,14,78,17.9,0.181,26.5,40,4.355,11.8,412,95.7,13.8,30.77419,138342,84,0,16,3,0,0.3145,72,24.98,32.97,25.66,95.6,14.4,12.12345,19,41,0,26.7,0,0,0
2021-07-27,04:38:06,15.83,15.66,15.83,15.66,15.88,15.8,84,84,87,37,25,22,6.31,0.0,0.0,0.0,0.0,0.0,0.0,23.8,59,0,0,OFF,OFF,ON,0,15.5,99,0,0,OFF,OFF,29.4,29.5,15.51,29.4,15.95,9.0,6.0,90.33,38.0,82.58,14,84,23.5,16.5,2,1,OFF,OFF,100,100,4.707,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,73,525,14,78,17.9,0.181,26.5,40,4.355,11.8,412,95.7,13.8,30.77419,138342,84,0,16,3,0,0.3145,72,24.98,32.97,25.66,95.6,14.4,12.12345,19,41,0,26.7,0,0,0
2021-07-27,04:38:35,15.83,15.66,15.83,15.66,15.88,15.8,84,84,87,37,25,22,6.31,0.0,0.0,0.0,0.0,0.0,0.0,23.8,59,0,0,OFF,OFF,ON,0,15.5,99,0,0,OFF,OFF,29.4,29.5,15.51,29.4,15.95,9.0,6.0,90.33,38.0,82.58,14,84,23.5,16.5,2,1,OFF,OFF,100,100,4.707,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,73,525,14,78,17.9,0.181,26.5,40,4.355,11.8,412,95.7,13.8,30.77419,138342,84,0,16,3,0,0.3145,72,24.98,32.97,25.66,95.6,14.4,12.12345,19,41,0,26.7,0,0,0
2021-07-27,04:39:05,15.83,15.66,15.83,15.66,15.88,15.8,84,84,87,37,25,22,6.31,0.0,0.0,0.0,0.0,0.0,0.0,23.8,59,0,0,OFF,OFF,ON,0,15.5,100,0,0,OFF,OFF,29.4,29.5,15.51,29.4,15.95,9.0,6.0,90.33,38.0,82.58,15,84,23.5,16.5,2,1,OFF,OFF,100,100,4.707,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,73,525,14,78,17.9,0.181,26.5,40,4.355,11.8,412,95.7,13.8,30.77419,138342,84,0,16,3,0,0.3145,72,24.98,32.97,25.66,95.6,14.4,12.12345,19,41,0,26.7,0,0,0
2021-07-27,04:39:35,15.83,15.66,15.83,15.66,15.88,15.8,84,84,87,37,25,22,6.31,0.0,0.0,0.0,0.0,0.0,0.0,23.8,59,0,0,OFF,OFF,ON,0,15.5,99,0,0,OFF,OFF,29.4,29.5,15.51,29.4,15.95,9.0,6.0,90.33,38.0,82.58,15,84,23.5,16.5,2,1,OFF,OFF,100,100,4.707,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,73,525,14,78,17.9,0.181,26.5,40,4.355,11.8,412,95.7,13.8,30.77419,138342,84,0,16,3,0,0.3145,72,24.98,32.97,25.66,95.6,14.4,12.12345,19,41,0,26.7,0,0,0
2021-07-27,04:40:05,15.83,15.66,15.83,15.66,15.88,15.8,84,84,87,37,25,22,6.31,0.0,0.0,0.0,0.0,0.0,0.0,23.7,59,0,0,OFF,OFF,ON,0,15.5,99,0,0,OFF,OFF,29.4,29.5,15.51,29.4,15.95,9.0,6.0,90.33,38.0,82.58,15,84,23.5,16.5,2,1,OFF,OFF,100,100,4.707,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,73,525,14,78,17.9,0.181,26.5,40,4.355,11.8,412,95.7,13.8,30.77419,138342,84,0,16,3,0,0.3145,72,24.98,32.97,25.66,95.6,14.4,12.12345,19,41,0,26.7,0,0,0
2021-07-27,04:40:35,15.83,15.66,15.83,15.66,15.88,15.8,84,84,87,37,25,22,6.31,0.0,0.0,0.0,0.0,0.0,0.0,23.7,59,0,0,OFF,OFF,ON,0,15.5,99,0,0,OFF,OFF,29.4,29.5,15.51,29.4,15.95,9.0,6.0,90.33,38.0,82.58,15,84,23.5,16.5,2,1,OFF,OFF,100,100,4.707,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,73,525,14,78,17.9,0.181,26.5,40,4.355,11.8,412,95.7,13.8,30.77419,138342,84,0,16,3,0,0.3145,72,24.98,32.97,25.66,95.6,14.4,12.12345,19,41,0,26.7,0,0,0
2021-07-27,04:41:05,15.83,15.66,15.83,15.66,15.88,15.8,84,84,87,37,25,22,6.31,0.0,0.0,0.0,0.0,0.0,0.0,23.7,59,0,0,OFF,OFF,ON,0,15.5,99,0,0,OFF,OFF,29.4,29.5,15.51,29.4,15.95,9.0,6.0,90.33,38.0,82.58,15,84,23.5,16.5,2,1,OFF,OFF,100,100,4.707,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,73,525,14,78,17.9,0.181,26.5,40,4.355,11.8,412,95.7,13.8,30.77419,138342,84,0,16,3,0,0.3145,72,24.98,32.97,25.66,95.6,14.4,12.12345,19,41,0,26.7,0,0,0
2021-07-27,04:41:34,15.83,15.66,15.83,15.66,15.88,15.8,84,84,87,37,25,22,6.31,0.0,0.0,0.0,0.0,0.0,0.0,23.7,59,0,0,OFF,OFF,ON,0,15.5,99,0,0,OFF,OFF,29.4,29.5,15.51,29.4,15.95,9.0,6.0,90.33,38.0,82.58,15,84,23.5,16.5,2,1,OFF,OFF,100,100,4.707,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,73,525,14,78,17.9,0.181,26.5,40,4.355,11.8,412,95.7,13.8,30.77419,138342,84,0,16,3,0,0.3145,72,24.98,32.97,25.66,95.6,14.4,12.12345,19,41,0,26.7,0,0,0
2021-07-27,04:42:04,15.83,15.66,15.83,15.66,15.88,15.8,84,84,87,37,25,22,6.31,0.0,0.0,0.0,0.0,0.0,0.0,23.7,59,0,0,OFF,OFF,ON,0,15.5,99,0,0,OFF,OFF,29.4,29.5,15.51,29.4,15.95,9.0,6.0,90.33,38.0,82.58,15,84,23.5,16.5,2,1,OFF,OFF,100,100,4.707,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,73,525,14,78,17.9,0.181,26.5,40,4.355,11.8,412,95.7,13.8,30.77419,138342,84,0,16,3,0,0.3145,72,24.98,32.97,25.66,95.6,14.4,12.12345,19,41,0,26.7,0,0,0
2021-07-27,04:42:34,15.83,15.66,15.83,15.66,15.88,15.8,84,84,87,37,25,22,6.31,0.0,0.0,0.0,0.0,0.0,0.0,23.7,59,0,0,OFF,OFF,ON,0,15.5,99,0,0,OFF,OFF,29.4,29.5,15.51,29.4,15.95,9.0,6.0,90.33,38.0,82.58,15,84,23.5,16.5,2,1,OFF,OFF,100,100,4.707,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,73,525,14,78,17.9,0.181,26.5,40,4.355,11.8,412,95.7,13.8,30.77419,138342,84,0,16,3,0,0.3145,72,24.98,32.97,25.66,95.6,14.4,12.12345,19,41,0,26.7,0,0,0
2021-07-27,04:43:04,15.83,15.66,15.83,15.66,15.88,15.8,84,84,87,37,25,22,6.31,0.0,0.0,0.0,0.0,0.0,0.0,23.7,59,0,0,OFF,OFF,ON,0,15.5,99,0,0,OFF,OFF,29.4,29.5,15.51,29.4,15.95,9.0,6.0,90.33,38.0,82.58,15,84,23.5,16.5,2,1,OFF,OFF,100,100,4.707,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,73,525,14,78,17.9,0.181,26.5,40,4.355,11.8,412,95.7,13.8,30.77419,138342,84,0,16,3,0,0.3145,72,24.98,32.97,25.66,95.6,14.4,12.12345,19,41,0,26.7,0,0,0
2021-07-27,04:43:34,15.83,15.66,15.83,15.66,15.88,15.8,84,84,87,37,25,22,6.31,0.0,0.0,0.0,0.0,0.0,0.0,23.7,59,0,0,OFF,OFF,ON,0,15.5,99,0,0,OFF,OFF,29.4,29.5,15.51,29.4,15.95,9.0,6.0,90.33,38.0,82.58,15,84,23.5,16.5,2,1,OFF,OFF,100,100,4.707,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,73,525,14,78,17.9,0.181,26.5,40,4.355,11.8,412,95.7,13.8,30.77419,138342,84,0,16,3,0,0.3145,72,24.98,32.97,25.66,95.6,14.4,12.12345,19,41,0,26.7,0,0,0
2021-07-27,04:44:04,15.83,15.66,15.83,15.66,15.88,15.8,84,84,87,37,25,22,6.31,0.0,0.0,0.0,0.0,0.0,0.0,23.7,59,0,0,OFF,OFF,ON,0,15.5,99,0,0,OFF,OFF,29.4,29.5,15.51,29.4,15.95,9.0,6.0,90.33,38.0,82.58,15,84,23.5,16.5,2,1,OFF,OFF,100,100,4.707,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,73,525,14,78,17.9,0.181,26.5,40,4.355,11.8,412,95.7,13.8,30.77419,138342,84,0,16,3,0,0.3145,72,24.98,32.97,25.66,95.6,14.4,12.12345,19,41,0,26.7,0,0,0
2021-07-27,04:44:33,15.83,15.66,15.83,15.66,15.88,15.8,84,84,87,37,25,22,6.31,0.0,0.0,0.0,0.0,0.0,0.0,23.7,59,0,0,OFF,OFF,ON,0,15.5,99,0,0,OFF,OFF,29.4,29.5,15.51,29.4,15.95,9.0,6.0,90.33,38.0,82.58,15,84,23.5,16.5,2,1,OFF,OFF,100,100,4.707,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,73,525,14,78,17.9,0.181,26.5,40,4.355,11.8,412,95.7,13.8,30.77419,138342,84,0,16,3,0,0.3145,72,24.98,32.97,25.66,95.6,14.4,12.12345,19,41,0,26.7,0,0,0
2021-07-27,04:45:03,15.83,15.66,15.83,15.66,15.88,15.8,84,84,87,37,25,22,6.31,0.0,0.0,0.0,0.0,0.0,0.0,23.7,59,0,0,OFF,OFF,ON,0,15.5,99,0,0,OFF,OFF,29.4,29.5,15.51,29.4,15.95,9.0,6.0,90.33,38.0,82.58,14,84,23.5,16.5,2,1,OFF,OFF,100,100,4.707,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,73,525,14,78,17.9,0.181,26.5,40,4.355,11.8,412,95.7,13.8,30.77419,138342,84,0,16,3,0,0.3145,72,24.98,32.97,25.66,95.6,14.4,12.12345,19,41,0,26.7,0,0,0
2021-07-27,04:45:33,15.83,15.66,15.83,15.66,15.88,15.8,84,84,87,37,25,22,6.31,0.0,0.0,0.0,0.0,0.0,0.0,23.7,59,0,0,OFF,OFF,ON,0,15.4,99,0,0,OFF,OFF,29.4,29.5,15.51,29.4,15.95,9.0,6.0,90.33,38.0,82.58,14,84,23.5,16.5,2,1,OFF,OFF,100,100,4.707,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,73,525,14,78,17.9,0.181,26.5,40,4.355,11.8,412,95.7,13.8,30.77419,138342,84,0,16,3,0,0.3145,72,24.98,32.97,25.66,95.6,14.4,12.12345,19,41,0,26.7,0,0,0
2021-07-27,04:46:03,15.83,15.66,15.83,15.66,15.88,15.8,84,84,87,37,25,22,6.31,0.0,0.0,0.0,0.0,0.0,0.0,23.7,59,0,0,OFF,OFF,ON,0,15.4,99,0,0,OFF,OFF,29.4,29.5,15.51,29.4,15.95,9.0,6.0,90.33,38.0,87.61,14,84,23.5,16.5,2,1,OFF,OFF,100,100,4.707,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,73,525,14,78,17.9,0.181,26.5,40,4.355,11.8,412,95.7,13.8,30.77419,138342,84,0,16,3,0,0.3145,72,24.98,32.97,25.66,95.6,14.4,12.12345,19,41,0,26.7,0,0,0
2021-07-27,04:46:33,15.83,15.66,15.83,15.66,15.88,15.8,84,84,87,37,25,22,6.31,0.0,0.0,0.0,0.0,0.0,0.0,23.7,59,0,0,OFF,OFF,ON,0,15.4,100,0,0,OFF,OFF,29.4,29.5,15.51,29.4,15.95,9.0,6.0,90.33,38.0,87.61,14,84,23.5,16.5,2,1,OFF,OFF,100,100,4.707,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,73,525,14,78,17.9,0.181,26.5,40,4.355,11.8,412,95.7,13.8,30.77419,138342,84,0,16,3,0,0.3145,72,24.98,32.97,25.66,95.6,14.4,12.12345,19,41,0,26.7,0,0,0
2021-07-27,04:47:03,15.83,15.66,15.83,15.66,15.88,15.8,84,84,87,37,25,22,6.31,0.0,0.0,0.0,0.0,0.0,0.0,23.7,59,0,0,OFF,OFF,ON,0,15.4,100,0,0,OFF,OFF,29.4,29.5,15.51,29.4,15.95,9.0,6.0,90.33,38.0,87.61,14,84,23.5,16.5,2,1,OFF,OFF,100,100,4.707,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,73,525,14,78,17.9,0.181,26.5,40,4.355,11.8,412,95.7,13.8,30.77419,138342,84,0,16,3,0,0.3145,72,24.98,32.97,25.66,95.6,14.4,12.12345,19,41,0,26.7,0,0,0
2021-07-27,04:47:32,15.83,15.66,15.83,15.66,15.88,15.8,84,84,87,37,25,22,6.31,0.0,0.0,0.0,0.0,0.0,0.0,23.7,59,0,0,OFF,OFF,ON,0,15.4,100,0,0,OFF,OFF,29.4,29.5,15.51,29.4,15.95,9.0,6.0,90.33,38.0,87.61,14,84,23.5,16.5,2,1,OFF,OFF,100,100,4.707,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,73,525,14,78,17.9,0.181,26.5,40,4.355,11.8,412,95.7,13.8,30.77419,138342,84,0,16,3,0,0.3145,72,24.98,32.97,25.66,95.6,14.4,12.12345,19,41,0,26.7,0,0,0
2021-07-27,04:48:02,15.83,15.66,15.83,15.66,15.88,15.8,84,84,87,37,25,22,6.31,0.0,0.0,0.0,0.0,0.0,0.0,23.7,59,0,0,OFF,OFF,ON,0,15.4,100,0,0,OFF,OFF,29.4,29.5,15.51,29.4,15.95,9.0,6.0,90.33,38.0,87.61,14,84,23.5,16.5,2,1,OFF,OFF,100,100,4.707,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,73,525,14,78,17.9,0.181,26.5,40,4.355,11.8,412,95.7,13.8,30.77419,138342,84,0,16,3,0,0.3145,72,24.98,32.97,25.66,95.6,14.4,12.12345,19,41,0,26.7,0,0,0
2021-07-27,04:48:32,15.83,15.66,15.83,15.66,15.88,15.8,84,84,87,37,25,22,6.31,0.0,0.0,0.0,0.0,0.0,0.0,23.7,59,0,0,OFF,OFF,ON,0,15.4,100,0,0,OFF,OFF,29.4,29.5,15.51,29.4,15.95,9.0,6.0,90.33,38.0,87.61,14,84,23.5,16.5,2,1,OFF,OFF,100,100,4.707,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,73,525,14,78,17.9,0.181,26.5,40,4.355,11.8,412,95.7,13.8,30.77419,138342,84,0,16,3,0,0.3145,72,24.98,32.97,25.66,95.6,14.4,12.12345,19,41,0,26.7,0,0,0
2021-07-27,04:49:02,15.83,15.66,15.83,15.66,15.88,15.8,84,84,87,37,25,22,6.31,0.0,0.0,0.0,0.0,0.0,0.0,23.7,59,0,0,OFF,OFF,ON,0,15.4,100,0,0,OFF,OFF,29.4,29.5,15.51,29.4,15.95,9.0,6.0,90.33,38.0,87.61,14,84,23.5,16.5,2,1,OFF,OFF,100,100,4.707,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,73,525,14,78,17.9,0.181,26.5,40,4.355,11.8,412,95.7,13.8,30.77419,138342,84,0,16,3,0,0.3145,72,24.98,32.97,25.66,95.6,14.4,12.12345,19,41,0,26.7,0,0,0
2021-07-27,04:49:32,15.83,15.66,15.83,15.66,15.88,15.8,84,84,87,37,25,22,6.31,0.0,0.0,0.0,0.0,0.0,0.0,23.7,59,0,0,OFF,OFF,ON,0,15.4,100,0,0,OFF,OFF,29.4,29.5,15.51,29.4,15.95,9.0,6.0,90.33,38.0,87.61,14,84,23.5,16.5,2,1,OFF,OFF,100,100,4.707,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,73,525,14,78,17.9,0.181,26.5,40,4.355,11.8,412,95.7,13.8,30.77419,138342,84,0,16,3,0,0.3145,72,24.98,32.97,25.66,95.6,14.4,12.12345,19,41,0,26.7,0,0,0
2021-07-27,04:50:02,15.83,15.66,15.83,15.66,15.88,15.8,84,84,87,37,25,22,6.31,0.0,0.0,0.0,0.0,0.0,0.0,23.7,59,0,0,OFF,OFF,ON,0,15.4,100,0,0,OFF,OFF,29.4,29.5,15.51,29.4,15.95,9.0,6.0,90.33,38.0,87.61,14,84,23.5,16.5,2,1,OFF,OFF,100,100,4.707,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,73,525,14,78,17.9,0.181,26.5,40,4.355,11.8,412,95.7,13.8,30.77419,138342,84,0,16,3,0,0.3145,72,24.98,32.97,25.66,95.6,14.4,12.12345,19,41,0,26.7,0,0,0
2021-07-27,04:50:36,15.83,15.66,15.83,15.66,15.88,15.8,84,84,87,37,25,22,6.31,0.0,0.0,0.0,0.0,0.0,0.0,23.7,59,0,0,OFF,OFF,ON,0,15.4,100,0,0,OFF,OFF,29.4,29.5,15.51,29.4,15.95,9.0,6.0,90.33,38.0,87.61,14,84,23.5,16.5,2,1,OFF,OFF,100,100,4.707,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,73,525,14,78,17.9,0.181,26.5,40,4.355,11.8,412,95.7,13.8,30.77419,138342,84,0,16,3,0,0.3145,72,24.98,32.97,25.66,95.6,14.4,12.12345,19,41,0,26.7,0,0,0
